Start,Finish,Active Calories (kcal),Distance (mi),Flights Climbed (count),Steps (count)
8/9/19 0:00,8/10/19 0:00,412.345772,3.117266355,4,5521.498766
8/10/19 0:00,8/11/19 0:00,528.258228,5.520818405,2,10076.14753
8/11/19 0:00,8/12/19 0:00,1384.847616,15.79331955,173,29480.22292
8/12/19 0:00,8/13/19 0:00,491.4403828,4.363082628,5,8117
8/13/19 0:00,8/14/19 0:00,544.1930505,5.108320977,4,9467.487222
8/14/19 0:00,8/15/19 0:00,463.2199503,4.192768996,2,7487.186477
8/15/19 0:00,8/16/19 0:00,803.797,9.46924065,12,14867.16942
8/16/19 0:00,8/17/19 0:00,528.166,4.312279779,4,7798
8/17/19 0:00,8/18/19 0:00,366.598,2.895538195,0,5337
8/18/19 0:00,8/19/19 0:00,678.484,5.426357597,0,8171
8/19/19 0:00,8/20/19 0:00,482.547,4.003270523,5,7094
8/20/19 0:00,8/21/19 0:00,387.915,2.904544534,0,5151
8/21/19 0:00,8/22/19 0:00,1128.483,10.79315948,3,16650
8/22/19 0:00,8/23/19 0:00,533.254,4.31826765,5,7577.689491
8/23/19 0:00,8/24/19 0:00,436.822,3.095957064,6,5549
8/24/19 0:00,8/25/19 0:00,402.654,3.0237021,0,5463
8/25/19 0:00,8/26/19 0:00,795.142,8.653363304,5,15209
8/26/19 0:00,8/27/19 0:00,607.343,5.774522951,1,10178
8/27/19 0:00,8/28/19 0:00,624.711,6.225824392,3,11088
8/28/19 0:00,8/29/19 0:00,597.176,4.618071344,3,8164
8/29/19 0:00,8/30/19 0:00,513.911,4.645846535,1,8178
8/30/19 0:00,8/31/19 0:00,454.724,2.672069511,1,4887
8/31/19 0:00,9/1/19 0:00,411.066,2.964774741,5,5358
9/1/19 0:00,9/2/19 0:00,402.776,1.778460303,1,3226
9/2/19 0:00,9/3/19 0:00,459.974,3.730384772,1,6718
9/3/19 0:00,9/4/19 0:00,478.519,3.748711206,1,6529
9/4/19 0:00,9/5/19 0:00,469.072,4.251750081,1,7516
9/5/19 0:00,9/6/19 0:00,561.633,4.858604368,1,8362
9/6/19 0:00,9/7/19 0:00,526.303,4.10439435,3,7086
9/7/19 0:00,9/8/19 0:00,785.904,6.913533275,0,10133
9/8/19 0:00,9/9/19 0:00,313.537,1.857811581,0,3272.172234
9/9/19 0:00,9/10/19 0:00,593.118,5.492289178,5,9551
9/10/19 0:00,9/11/19 0:00,497.586,4.293677539,1,7520
9/11/19 0:00,9/12/19 0:00,916.565,8.630926379,1,13323.07584
9/12/19 0:00,9/13/19 0:00,508.714,4.30691928,3,7444
9/13/19 0:00,9/14/19 0:00,967.466,9.004095045,3,14397
9/14/19 0:00,9/15/19 0:00,302.319,1.568299315,1,2855
9/15/19 0:00,9/16/19 0:00,764.961,6.378243512,1,9740
9/16/19 0:00,9/17/19 0:00,459.827,3.742390906,1,6616.05808
9/17/19 0:00,9/18/19 0:00,488.591,3.715949323,1,6446
9/18/19 0:00,9/19/19 0:00,959.591,9.106501562,1,14447
9/19/19 0:00,9/20/19 0:00,525.632,3.822813837,1,6656
9/20/19 0:00,9/21/19 0:00,922.049,8.697246157,1,13408
9/21/19 0:00,9/22/19 0:00,811.361,8.910396498,36,16047
9/22/19 0:00,9/23/19 0:00,553.713,5.628210499,0,9898
9/23/19 0:00,9/24/19 0:00,488.969,4.007584308,2,7011
9/24/19 0:00,9/25/19 0:00,677.222,6.953031607,4,12055
9/25/19 0:00,9/26/19 0:00,585.351,5.607063446,1,9635
9/26/19 0:00,9/27/19 0:00,477.838,4.147507106,2,7223
9/27/19 0:00,9/28/19 0:00,978.403,9.013173785,3,14119
9/28/19 0:00,9/29/19 0:00,186.802,0.760741585,0,1407
9/29/19 0:00,9/30/19 0:00,828.19,7.758105881,1,11803.90546
9/30/19 0:00,10/1/19 0:00,508.999,3.957572714,1,6882
10/1/19 0:00,10/2/19 0:00,1057.387,9.712718797,1,15588
10/2/19 0:00,10/3/19 0:00,470.76,3.9292445,1,6791
10/3/19 0:00,10/4/19 0:00,526.106,4.440896791,2,7343
10/4/19 0:00,10/5/19 0:00,936.497,8.933145339,1,13662
10/5/19 0:00,10/6/19 0:00,484.569,4.220310977,2,7248
10/6/19 0:00,10/7/19 0:00,494.041,4.678549619,1,8122.56446
10/7/19 0:00,10/8/19 0:00,511.788,4.657273264,2,8053.844086
10/8/19 0:00,10/9/19 0:00,502.806,4.567637193,1,7935
10/9/19 0:00,10/10/19 0:00,959.151,9.294320515,1,14786
10/10/19 0:00,10/11/19 0:00,416.544,3.410735931,1,5986
10/11/19 0:00,10/12/19 0:00,563.745,5.844473953,1,10023
10/12/19 0:00,10/13/19 0:00,260.015,1.466198986,0,2660
10/13/19 0:00,10/14/19 0:00,864.871,7.90889638,1,11883
10/14/19 0:00,10/15/19 0:00,535.865,4.715442858,1,8097
10/15/19 0:00,10/16/19 0:00,1032.511,9.754269825,4,15336
10/16/19 0:00,10/17/19 0:00,702.913,7.374072995,2,12435
10/17/19 0:00,10/18/19 0:00,521.008,4.665587039,2,8266
10/18/19 0:00,10/19/19 0:00,567.9340423,4.330259494,1,7625
10/19/19 0:00,10/20/19 0:00,714.1999577,6.094828751,6,10849.84541
10/20/19 0:00,10/21/19 0:00,336.875,1.494076007,1,2757
10/21/19 0:00,10/22/19 0:00,478.387,4.306785349,1,7453
10/22/19 0:00,10/23/19 0:00,1077.42,10.38522724,3,16154
10/23/19 0:00,10/24/19 0:00,648.131,6.767406189,2,11429.81094
10/24/19 0:00,10/25/19 0:00,938.494,9.252138868,1,14022
10/25/19 0:00,10/26/19 0:00,575.267,5.692298788,1,9476
10/26/19 0:00,10/27/19 0:00,255.766,1.870742109,0,3496
10/27/19 0:00,10/28/19 0:00,442.97,4.107710794,2,7079
10/28/19 0:00,10/29/19 0:00,485.115,4.192944874,1,7264
10/29/19 0:00,10/30/19 0:00,903.364,8.318283429,1,12569
10/30/19 0:00,10/31/19 0:00,517.755,4.29513895,2,7511
10/31/19 0:00,11/1/19 0:00,537.868,5.178699799,2,8787
11/1/19 0:00,11/2/19 0:00,488.557,4.344673282,5,7402
11/2/19 0:00,11/3/19 0:00,276.263,1.524270597,0,2819.95769
11/3/19 0:00,11/4/19 0:00,783.365,6.462892712,1,9282
11/4/19 0:00,11/5/19 0:00,476.989,4.041296823,1,6994
11/5/19 0:00,11/6/19 0:00,916.649,8.498689708,0,12997
11/6/19 0:00,11/7/19 0:00,657.347,6.48893049,3,11130
11/7/19 0:00,11/8/19 0:00,578.844,5.823128467,3,9640
11/8/19 0:00,11/9/19 0:00,551.549,4.857361488,2,8250
11/9/19 0:00,11/10/19 0:00,303.965,2.057734762,0,3754
11/10/19 0:00,11/11/19 0:00,399.777,3.058718424,1,5413
11/11/19 0:00,11/12/19 0:00,586.681,5.71044064,2,9774
11/12/19 0:00,11/13/19 0:00,487.008,4.597504051,3,7505
11/13/19 0:00,11/14/19 0:00,588.223,5.089956079,3,8962
11/14/19 0:00,11/15/19 0:00,635.646,6.74795329,3,10635
11/15/19 0:00,11/16/19 0:00,534.645,5.448747194,1,8798
11/16/19 0:00,11/17/19 0:00,321.372,2.214092824,0,3979
11/17/19 0:00,11/18/19 0:00,434.838,3.330503011,1,5816
11/18/19 0:00,11/19/19 0:00,517.495,4.314779555,3,7508
11/19/19 0:00,11/20/19 0:00,968.496,8.477420377,2,13699
11/20/19 0:00,11/21/19 0:00,617.497,5.360572941,2,9045.213353
11/21/19 0:00,11/22/19 0:00,552.378,4.796991172,2,8178
11/22/19 0:00,11/23/19 0:00,547.538,5.517025007,2,9550
11/23/19 0:00,11/24/19 0:00,548.114,4.727155166,1,8408
11/24/19 0:00,11/25/19 0:00,316.943,1.678023299,5,3004.578467
11/25/19 0:00,11/26/19 0:00,301.361,1.946015635,11,3482
11/26/19 0:00,11/27/19 0:00,533.555,5.271955884,11,9284
11/27/19 0:00,11/28/19 0:00,0,1.896122903,6,3961
11/28/19 0:00,11/29/19 0:00,0,8.736948122,65,16626
11/29/19 0:00,11/30/19 0:00,0,4.502829959,9,8536
11/30/19 0:00,12/1/19 0:00,0,0.703401803,4,1416
12/1/19 0:00,12/2/19 0:00,0,2.03261843,1,3832
12/2/19 0:00,12/3/19 0:00,0,4.371188115,2,8329
12/3/19 0:00,12/4/19 0:00,0,1.969927357,5,3806
12/4/19 0:00,12/5/19 0:00,0,4.099281715,2,7803
12/5/19 0:00,12/6/19 0:00,0,4.006223299,3,7568
