student_id,day,semester,late_or_not
5,W11M,Fall,not late
5,W11W,Fall,not late
5,W11F,Fall,not late
5,W12M,Fall,not late
5,W12W,Fall,not late
5,W12F,Fall,late
5,W13M,Fall,not late
5,W13W,Fall,not late
5,W14M,Fall,late
5,W14W,Fall,not late
6,W0W,Fall,not late
6,W0F,Fall,not late
6,W1M,Fall,not late
6,W1W,Fall,not late
6,W1F,Fall,not late
6,W2M,Fall,not late
6,W2W,Fall,not late
6,W2F,Fall,not late
6,W3M,Fall,not late
6,W3W,Fall,not late
6,W3F,Fall,not late
6,W4M,Fall,not late
6,W4W,Fall,not late
6,W4F,Fall,not late
6,W5M,Fall,not late
6,W5F,Fall,late
6,W6M,Fall,not late
6,W6W,Fall,not late
6,W6F,Fall,late
6,W7M,Fall,late
6,W7W,Fall,not late
6,W8W,Fall,not late
6,W8F,Fall,not late
6,W9M,Fall,not late
6,W9F,Fall,late
6,W10M,Fall,not late
6,W10W,Fall,not late
6,W10F,Fall,late
6,W11M,Fall,not late
6,W11W,Fall,not late
6,W11F,Fall,late
6,W12M,Fall,not late
6,W12W,Fall,not late
6,W12F,Fall,late
6,W13M,Fall,not late
6,W13W,Fall,late
6,W14M,Fall,late
6,W14W,Fall,not late
7,W0W,Fall,not late
7,W0F,Fall,not late
7,W1M,Fall,not late
7,W1W,Fall,not late
7,W1F,Fall,not late
7,W2M,Fall,not late
7,W2W,Fall,not late
7,W2F,Fall,not late
7,W3M,Fall,not late
7,W3W,Fall,not late
7,W3F,Fall,not late
7,W4M,Fall,not late
7,W4W,Fall,not late
7,W4F,Fall,not late
7,W5M,Fall,not late
7,W5F,Fall,not late
7,W6M,Fall,not late
7,W6W,Fall,not late
7,W6F,Fall,not late
7,W7M,Fall,not late
7,W7W,Fall,not late
7,W8W,Fall,not late
7,W8F,Fall,not late
7,W9M,Fall,not late
7,W9F,Fall,not late
7,W10M,Fall,not late
7,W10W,Fall,not late
7,W10F,Fall,not late
7,W11M,Fall,not late
7,W11W,Fall,not late
7,W11F,Fall,not late
7,W12M,Fall,not late
7,W12W,Fall,not late
7,W12F,Fall,not late
7,W13M,Fall,not late
7,W13W,Fall,not late
7,W14M,Fall,not late
7,W14W,Fall,not late
8,W0W,Fall,not late
8,W0F,Fall,not late
8,W1M,Fall,not late
8,W1W,Fall,late
8,W1F,Fall,late
8,W2M,Fall,not late
8,W2W,Fall,not late
8,W2F,Fall,not late
8,W3M,Fall,not late
8,W3W,Fall,not late
8,W3F,Fall,not late
8,W4M,Fall,not late
8,W4W,Fall,not late
8,W4F,Fall,not late
8,W5M,Fall,not late
8,W5F,Fall,late
8,W6M,Fall,not late
8,W6W,Fall,not late
8,W6F,Fall,late
8,W7M,Fall,late
8,W7W,Fall,not late
8,W8W,Fall,not late
8,W8F,Fall,late
8,W9M,Fall,not late
8,W9F,Fall,late
8,W10M,Fall,not late
8,W10W,Fall,not late
8,W10F,Fall,not late
8,W11M,Fall,not late
8,W11W,Fall,late
8,W11F,Fall,late
8,W12M,Fall,not late
