major1,major2,major3,minor1,minor2,minor3
EC_SP,BUSLA,NA,NA,NA,NA
ECON,NA,NA,STATS,NA,NA
PCA,NA,NA,NA,NA,NA
PCA,BUSLA,NA,NA,NA,NA
EN_GO,NA,NA,NA,NA,NA
PSYC,NA,NA,EDUCS,NA,NA
CS,NRSCI,NA,NA,NA,NA
MFDBA,NA,NA,NA,NA,NA
HIST,ENG,NA,SSES,NA,NA
ANTH,NA,NA,PUB,NA,NA
PCA,NA,NA,MUS,NA,NA
ECON,BUSLA,NA,EUR,NA,NA
SOC,BUSLA,NA,NA,NA,NA
HIST,BUSLA,NA,NA,NA,NA
EC_GR,NA,NA,MATH,EUR,NA
EN_EN,NA,NA,NA,NA,NA
PSYC,NA,NA,PCA,EDUCS,NA
PSYC,NA,NA,OUTDR,ENG,NA
STAT,ECON,BUSLA,NA,NA,NA
PCA,NA,NA,SSES,NA,NA
ANTH,NA,NA,GS,PUB,NA
CS,NA,NA,NA,NA,NA
PSYC,BUSLA,NA,PUB,NA,NA
MFDBS,NA,NA,NA,NA,NA
NRSCI,NA,NA,SSES,NA,NA
PSYC,NA,NA,PUB,NA,NA
PHIL,NA,NA,GOVT,NA,NA
HIST,NA,NA,NA,NA,NA
GS,NA,NA,NA,NA,NA
GOVT,NA,NA,PHIL,NA,NA
PHYS,CS,NA,MATH,NA,NA
ECON,BUSLA,NA,NA,NA,NA
GOVT,NA,NA,NA,NA,NA
SOC,NA,NA,SSES,NA,NA
PUB,NA,NA,AFS,REL,NA
ENG,PCA,NA,NA,NA,NA
CONBI,NA,NA,PUB,NA,NA
BIOL,NA,NA,ENG,NA,NA
BIOL,NA,NA,PUB,NA,NA
PHIL,CHEM,NA,NA,NA,NA
MULTL,NA,NA,NA,NA,NA
HI_SP,NA,NA,CLAS,NA,NA
PHIL,NA,NA,FLMS,NA,NA
SOC,NA,NA,EDUCS,NA,NA
ENG,NA,NA,FLMS,NA,NA
GOVT,NA,NA,ARAB,NA,NA
GOVT,ECON,BUSLA,NA,NA,NA
CS,NA,NA,MATH,SSES,NA
ECON,BUSLA,NA,GOVT,NA,NA
GOVT,NA,NA,PCA,NA,NA
GOVT,PHIL,NA,NA,NA,NA
PSYC,MFDBA,NA,NA,NA,NA
ENG,NA,NA,EUR,FLMS,NA
ECON,BUSLA,NA,NA,NA,NA
ENG,BUSLA,NA,EUR,NA,NA
SOC,NA,NA,EDUCS,GNDR,NA
PSYC,BUSLA,NA,NA,NA,NA
PCA,NA,NA,EDUCS,SSES,NA
DATA,NA,NA,SOC,NA,NA
EC_FR,NA,NA,NA,NA,NA
MATH,CS,NA,NA,NA,NA
BIOL,BUSLA,NA,NA,NA,NA
EN_EC,NA,NA,EUR,NA,NA
PSYC,NA,NA,PUB,NA,NA
PCA,NA,NA,REL,NA,NA
ENG,MUS,NA,NA,NA,NA
EN_BI,NA,NA,GOVT,NA,NA
SOC,BUSLA,NA,SSES,NA,NA
ENVS,NA,NA,EDUCS,NA,NA
BIOL,NA,NA,PUB,NA,NA
MATH,STAT,NA,NA,NA,NA
SOC,NA,NA,NA,NA,NA
CS,ECON,NA,STATS,NA,NA
GOVT,HIST,ENG,NA,NA,NA
CHEM,NA,NA,MATH,NA,NA
MATH,BUSLA,NA,NA,NA,NA
ENVS,NA,NA,NA,NA,NA
GOVT,NA,NA,SOC,NA,NA
ECON,BUSLA,NA,NA,NA,NA
PSYC,GOVT,NA,PHIL,NA,NA
ECON,NA,NA,NA,NA,NA
BIOL,NA,NA,NA,NA,NA
ENVS,NA,NA,ENG,OUTDR,NA
PSYC,BUSLA,NA,ENG,NA,NA
BIOL,NA,NA,OUTDR,SSES,NA
ECON,BUSLA,NA,NA,NA,NA
SOC,NA,NA,AFS,NA,NA
CONBI,NA,NA,GRST,NA,NA
MATH,PHIL,NA,NA,NA,NA
PSYC,NA,NA,NA,NA,NA
ENVS,NA,NA,NA,NA,NA
PCA,NA,NA,ENG,NA,NA
BIOL,BUSLA,NA,NA,NA,NA
ENG,NA,NA,NA,NA,NA
GS,NA,NA,GNDR,NA,NA
PSYC,NA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
NRSCI,NA,NA,PUB,NA,NA
MATH,BUSLA,NA,NA,NA,NA
AF_GO,NA,NA,EDUCS,NA,NA
PCA,NA,NA,NA,NA,NA
AF_HI,NA,NA,PSYC,EDUCS,NA
CHEM,NA,NA,REL,NA,NA
EN_EN,NA,NA,EUR,NA,NA
ECON,NA,NA,SSES,NA,NA
PSYC,NA,NA,ART,NA,NA
ART,NA,NA,NA,NA,NA
ECON,PCA,NA,NA,NA,NA
GS,NA,NA,EDUCS,GRST,NA
BIOL,NA,NA,NA,NA,NA
BIOL,NA,NA,NA,NA,NA
GOVT,NA,NA,NA,NA,NA
PSYC,NA,NA,PUB,NA,NA
GOVT,EC_ML,NA,NA,NA,NA
PSYC,BUSLA,NA,NA,NA,NA
ENVS,NA,NA,NA,NA,NA
GOVT,ECON,NA,NA,NA,NA
BI_PH,NA,NA,MATH,NA,NA
PHYS,MATH,NA,NA,NA,NA
NRSCI,NA,NA,SSES,NA,NA
MFDBA,NA,NA,NA,NA,NA
STAT,MATH,NA,NA,NA,NA
BIOL,NA,NA,SSES,NA,NA
PSYC,PUB,NA,EUR,NA,NA
MFDBA,NA,NA,NA,NA,NA
STAT,BUSLA,NA,NA,NA,NA
EN_PS,NA,NA,EDUCS,NA,NA
ART,NA,NA,NA,NA,NA
BIMED,PUB,NA,NA,NA,NA
AF_HI,NA,NA,EDUCS,NA,NA
MFDBA,NA,NA,NA,NA,NA
BIOL,NA,NA,NA,NA,NA
ANTH,NA,NA,ART,NA,NA
PSYC,NA,NA,EDUCS,NA,NA
CS,NA,NA,ART,NA,NA
EN_BI,NA,NA,NA,NA,NA
PSYC,NA,NA,PUB,NA,NA
BIOL,NA,NA,STATS,NA,NA
HIST,NA,NA,MATH,NA,NA
PCA,NA,NA,SSES,NA,NA
GOVT,NA,NA,NA,NA,NA
NRSCI,NA,NA,AFS,GNDR,NA
EC_MA,NA,NA,STATS,NA,NA
CS,MATH,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
GEOL,NA,NA,OUTDR,NA,NA
BIOL,NA,NA,GNDR,PUB,NA
ECON,BUSLA,PUB,NA,NA,NA
ENVS,REL,NA,FLMS,NA,NA
BIOL,NA,NA,CHEM,NA,NA
GOVT,NA,NA,NA,NA,NA
STAT,NA,NA,NA,NA,NA
EN_GO,NA,NA,SOC,NA,NA
CS,NA,NA,MUS,MATH,NA
ENG,NA,NA,PUB,NA,NA
PHIL,NA,NA,PCA,NA,NA
PCA,NA,NA,NA,NA,NA
BIOL,BUSLA,NA,ART,NA,NA
MATH,CS,NA,STATS,NA,NA
PSYC,ENG,NA,EDUCS,NA,NA
PSYC,NA,NA,NA,NA,NA
CHEM,ENG,NA,NA,NA,NA
PSYC,NA,NA,NA,NA,NA
HIST,NA,NA,PCA,NA,NA
DATA,NA,NA,ART,NA,NA
ECON,BUSLA,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
SOC,NA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
PSYC,PHIL,NA,EUR,EDUCS,NA
PCA,NA,NA,ANTH,PUB,NA
PSYC,BUSLA,NA,ART,NA,NA
ENG,NA,NA,MUS,NA,NA
ENG,FRST,MATH,EUR,STATS,NA
PSYC,NA,NA,EUR,EDUCS,GOVT
GOVT,NA,NA,NA,NA,NA
PSYC,NA,NA,EDUCS,SOC,NA
BIOL,HISP,NA,NA,NA,NA
PCA,NA,NA,FLMS,NA,NA
CONBI,NA,NA,NA,NA,NA
GOVT,BUSLA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
STAT,BUSLA,NA,NA,NA,NA
GEOL,NA,NA,NA,NA,NA
BIOL,NA,NA,PUB,NA,NA
PCA,NA,NA,EDUCS,NA,NA
ANTH,NA,NA,NA,NA,NA
PSYC,NA,NA,SSES,PUB,NA
GEOL,NA,NA,OUTDR,NA,NA
ANTH,NA,NA,EDUCS,NA,NA
GOVT,NA,NA,GNDR,NA,NA
MUS,NA,NA,EDUCS,NA,NA
ENG,FRST,NA,NA,NA,NA
GOVT,ENG,NA,NA,NA,NA
GOVT,NA,NA,ECON,HIST,GRST
PCA,NA,NA,EDUCS,NA,NA
HIST,NA,NA,NA,NA,NA
GOVT,NA,NA,ANTH,NA,NA
GOVT,NA,NA,NA,NA,NA
HIST,NA,NA,REL,NA,NA
GOVT,NA,NA,NA,NA,NA
PSYC,NA,NA,NA,NA,NA
MATH,CS,NA,NA,NA,NA
PHIL,NA,NA,NA,NA,NA
PSYC,ART,NA,NA,NA,NA
EN_BI,NA,NA,SSES,NA,NA
SOC,NA,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
PSYC,NA,NA,HISP,NA,NA
ENG,NA,NA,OUTDR,NA,NA
ENG,NA,NA,ART,NA,NA
GOVT,NA,NA,NA,NA,NA
EC_FR,NA,NA,NA,NA,NA
PSYC,NA,NA,NA,NA,NA
ANTH,BUSLA,NA,NA,NA,NA
HIST,NA,NA,NA,NA,NA
PSYC,ART,NA,NA,NA,NA
PHYS,NA,NA,MATH,NA,NA
PHIL,HISP,NA,NA,NA,NA
PSYC,PCA,NA,NA,NA,NA
PSYC,NA,NA,NA,NA,NA
ENVS,NA,NA,OUTDR,NA,NA
EN_SO,NA,NA,EDUCS,NA,NA
SOC,NA,NA,REL,ARAB,NA
EN_BI,NA,NA,GOVT,NA,NA
ANTH,NA,NA,EDUCS,NA,NA
PSYC,BUSLA,NA,NA,NA,NA
MULTL,NA,NA,NA,NA,NA
PSYC,NA,NA,SOC,NA,NA
BIOL,PSYC,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
PSYC,NA,NA,SSES,NA,NA
ANTH,NA,NA,EDUCS,NA,NA
GOVT,NA,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
ECON,BUSLA,NA,STATS,NA,NA
EN_PH,NA,NA,OUTDR,NA,NA
MATH,NA,NA,STATS,NA,NA
ECON,NA,NA,NA,NA,NA
SOC,NA,NA,NA,NA,NA
CS,BUSLA,NA,NA,NA,NA
ECON,GOVT,NA,NA,NA,NA
BIOL,NA,NA,FRST,NA,NA
ENG,NA,NA,NA,NA,NA
EN_EC,BUSLA,NA,NA,NA,NA
GS,BUSLA,NA,NA,NA,NA
EC_MA,NA,NA,STATS,NA,NA
ART,NA,NA,GNDR,NA,NA
GS,NA,NA,NA,NA,NA
PHIL,NA,NA,NA,NA,NA
HIST,NA,NA,NA,NA,NA
ART,NA,NA,NA,NA,NA
GOVT,NA,NA,NA,NA,NA
PSYC,NA,NA,NA,NA,NA
MATH,NA,NA,NA,NA,NA
PCA,BUSLA,NA,NA,NA,NA
ENG,BUSLA,NA,NA,NA,NA
HIST,ART,NA,NA,NA,NA
MATH,ECON,CS,NA,NA,NA
GOVT,PHIL,NA,SSES,NA,NA
CS,MATH,NA,NA,NA,NA
GOVT,NA,NA,NA,NA,NA
BIOL,MUS,NA,NA,NA,NA
ART,BUSLA,NA,NA,NA,NA
GS,NA,NA,NA,NA,NA
EN_MA,MULTL,NA,NA,NA,NA
SOC,NA,NA,NA,NA,NA
ENG,FRST,NA,NA,NA,NA
PSYC,NA,NA,GS,PUB,NA
ECON,BUSLA,NA,NA,NA,NA
ENVS,NA,NA,NA,NA,NA
EC_SP,BUSLA,NA,NA,NA,NA
ANTH,NA,NA,EUR,NA,NA
NRSCI,NA,NA,PUB,CHEM,NA
STAT,ANTH,NA,NA,NA,NA
ENG,BUSLA,NA,ITAL,NA,NA
BIOL,NA,NA,SSES,NA,NA
PHIL,BUSLA,NA,NA,NA,NA
PHIL,BUSLA,NA,NA,NA,NA
PHIL,MATH,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
ART,NA,NA,GEOL,NA,NA
ECON,BUSLA,NA,AFS,NA,NA
ECON,NA,NA,MATH,NA,NA
MATH,NA,NA,NA,NA,NA
EC_ML,BUSLA,NA,NA,NA,NA
STAT,CS,NA,NA,NA,NA
PHIL,ECON,NA,NA,NA,NA
BIOL,NA,NA,SSES,NA,NA
EC_MA,NA,NA,NA,NA,NA
GS,NA,NA,FLMS,EDUCS,NA
BIOL,NA,NA,CHEM,NA,NA
BIOCH,NA,NA,NA,NA,NA
SOC,NA,NA,NA,NA,NA
PSYC,BUSLA,NA,NA,NA,NA
PHYS,MATH,NA,NA,NA,NA
ART,NA,NA,OUTDR,NA,NA
PCA,NA,NA,FLMS,NA,NA
ENG,NA,NA,GNDR,FLMS,NA
PCA,NA,NA,SOC,NA,NA
SOC,NA,NA,EDUCT,NA,NA
GOVT,BUSLA,NA,NA,NA,NA
PSYC,BUSLA,NA,GRST,NA,NA
BIOCH,NA,NA,MATH,NA,NA
EN_EC,NA,NA,NA,NA,NA
PSYC,NA,NA,SSES,NA,NA
GEOL,NA,NA,NA,NA,NA
ENG,NA,NA,PHYS,NA,NA
SOC,NA,NA,NA,NA,NA
BIOL,NA,NA,PUB,NA,NA
PSYC,BUSLA,NA,NA,NA,NA
EC_MA,NA,NA,STATS,NA,NA
MATH,NA,NA,ITAL,EDUCT,NA
PSYC,ECON,NA,NA,NA,NA
ANTH,NA,NA,ART,AS,NA
HIST,NA,NA,NA,NA,NA
CS,BUSLA,NA,NA,NA,NA
CS,NA,NA,NA,NA,NA
FRST,ENG,NA,EUR,NA,NA
GOVT,NA,NA,CNS,NA,NA
PCA,NA,NA,EDUCS,GNDR,NA
PCA,NA,NA,NA,NA,NA
BIOL,PSYC,NA,NA,NA,NA
NRSCI,NA,NA,GRST,NA,NA
ANTH,NA,NA,PUB,NA,NA
NRSCI,NA,NA,PUB,MATH,NA
GS,NA,NA,ARAB,NA,NA
PSYC,BUSLA,NA,SSES,NA,NA
BIOL,NA,NA,SSES,PUB,NA
PSYC,PCA,NA,SSES,NA,NA
BIOL,NA,NA,NA,NA,NA
NRSCI,NA,NA,MATH,CHEM,NA
CONBI,NA,NA,PUB,NA,NA
ECON,BUSLA,NA,NA,NA,NA
PSYC,ENG,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
GOVT,NA,NA,NA,NA,NA
GOVT,NA,NA,NA,NA,NA
PCA,NA,NA,ENG,NA,NA
PCA,NA,NA,NA,NA,NA
PSYC,NA,NA,EDUCS,PUB,NA
BIOL,NA,NA,CHEM,NA,NA
EN_EC,NA,NA,FLMS,NA,NA
PSYC,NA,NA,ANTH,NA,NA
GS,NA,NA,NA,NA,NA
ART,NA,NA,REL,NA,NA
ECON,BUSLA,NA,NA,NA,NA
ECON,NA,NA,CHIN,STATS,NA
ECON,BUSLA,NA,NA,NA,NA
ECON,GS,NA,NA,NA,NA
BIOL,NA,NA,NA,NA,NA
PSYC,NA,NA,GNDR,PCA,NA
NRSCI,NA,NA,PUB,NA,NA
MATH,NA,NA,CS,STATS,NA
BIOCH,NA,NA,MATH,NA,NA
GOVT,FRST,NA,AS,NA,NA
EN_BI,NA,NA,NA,NA,NA
EN_MA,NA,NA,EDUCS,NA,NA
PCA,BUSLA,NA,NA,NA,NA
HIST,BUSLA,NA,FLMS,NA,NA
ECON,BUSLA,NA,NA,NA,NA
ART,NA,NA,NA,NA,NA
BIOL,NA,NA,NA,NA,NA
MATH,NA,NA,EDUCT,NA,NA
PHIL,NA,NA,CS,NA,NA
PSYC,PCA,NA,SSES,NA,NA
EN_EC,NA,NA,OUTDR,NA,NA
HIST,NA,NA,MUS,EDUCS,NA
BIOL,NA,NA,PUB,NA,NA
PSYC,BUSLA,NA,GNDR,NA,NA
PSYC,PCA,NA,NA,NA,NA
PSYC,NA,NA,EDUCS,NA,NA
ECON,BUSLA,NA,SSES,NA,NA
ENG,PCA,NA,SSES,NA,NA
EN_PS,NA,NA,PUB,NA,NA
ECON,NA,NA,NA,NA,NA
STAT,NA,NA,NA,NA,NA
PCA,NA,NA,EDUCS,NA,NA
ANTH,NA,NA,BIOL,PUB,NA
GOVT,BUSLA,NA,NA,NA,NA
STAT,BUSLA,NA,EDUCS,NA,NA
GOVT,NA,NA,NA,NA,NA
CONBI,NA,NA,NA,NA,NA
PSYC,PCA,NA,NA,NA,NA
GOVT,NA,NA,NA,NA,NA
SOC,NA,NA,ART,NA,NA
PSYC,NA,NA,ART,NA,NA
EN_EC,NA,NA,NA,NA,NA
PCA,NA,NA,AFS,SSES,NA
ENVS,NA,NA,AFS,NA,NA
ART,NA,NA,NA,NA,NA
BIOCH,NA,NA,NA,NA,NA
GOVT,ECON,NA,NA,NA,NA
PSYC,NA,NA,PHIL,NA,NA
ECON,BUSLA,NA,NA,NA,NA
GS,NA,NA,AFAMS,NA,NA
GOVT,NA,NA,EDUCS,SSES,NA
PCA,NA,NA,NA,NA,NA
PSYC,NA,NA,PUB,NA,NA
CHEM,NA,NA,MATH,NA,NA
BIOL,NA,NA,EDUCT,NA,NA
EC_SP,NA,NA,NA,NA,NA
EC_MA,NA,NA,STATS,NA,NA
GOVT,BUSLA,NA,ITAL,NA,NA
ECON,NA,NA,NA,NA,NA
STAT,NA,NA,MATH,NA,NA
PSYC,BUSLA,NA,NA,NA,NA
EC_FR,NA,NA,NA,NA,NA
ECON,NA,NA,HISP,NA,NA
EN_EN,NA,NA,NA,NA,NA
ENG,PCA,NA,NA,NA,NA
ECON,NA,NA,MATH,NA,NA
PCA,NA,NA,SOC,NA,NA
EN_BI,NA,NA,HISP,NA,NA
HIST,NA,NA,ENG,AFS,NA
ART,NA,NA,GNDR,EDUCS,NA
ENG,HISP,NA,NA,NA,NA
ENG,NA,NA,FLMS,NA,NA
GOVT,NA,NA,FLMS,NA,NA
BIOL,ART,NA,EDUCT,NA,NA
NRSCI,NA,NA,NA,NA,NA
ECON,BUSLA,NA,EDUCS,NA,NA
GS,SOC,NA,NA,NA,NA
BIOL,NA,NA,PUB,NA,NA
MATH,BUSLA,NA,SSES,NA,NA
ECON,STAT,NA,NA,NA,NA
PSYC,NA,NA,FLMS,NA,NA
EN_GE,NA,NA,SSES,NA,NA
ENG,NA,NA,NA,NA,NA
PCA,GOVT,NA,NA,NA,NA
FRST,NA,NA,EDUCT,HISP,EDUCS
HIST,GOVT,NA,NA,NA,NA
PCA,GOVT,NA,NA,NA,NA
HIST,REL,NA,NA,NA,NA
ENVS,NA,NA,NA,NA,NA
PHIL,NA,NA,EDUCS,NA,NA
MATH,GS,NA,EDUCS,NA,NA
PCA,NA,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
EC_FR,NA,NA,NA,NA,NA
STAT,NA,NA,BIOL,NA,NA
GOVT,NA,NA,CNS,FRST,NA
GS,NA,NA,AFS,PUB,NA
ECON,BUSLA,NA,NA,NA,NA
PCA,BUSLA,NA,NA,NA,NA
GOVT,BUSLA,NA,NA,NA,NA
HISP,GOVT,NA,CLAS,NA,NA
PSYC,GOVT,NA,NA,NA,NA
ENG,NA,NA,NA,NA,NA
PSYC,BUSLA,NA,NA,NA,NA
EN_BI,NA,NA,OUTDR,NA,NA
CS,MATH,NA,NA,NA,NA
ENVS,BUSLA,NA,PUB,NA,NA
STAT,NA,NA,HISP,PUB,NA
SOC,NA,NA,ANTH,NA,NA
PCA,NA,NA,FLMS,NA,NA
GOVT,NA,NA,NA,NA,NA
NRSCI,NA,NA,FRST,NA,NA
EC_MA,NA,NA,STATS,NA,NA
PHYS,CS,NA,MATH,NA,NA
CS,MUS,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
SOC,NA,NA,EDUCS,NA,NA
PSYC,NA,NA,PUB,NA,NA
PCA,NA,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
BIOL,NA,NA,PUB,AFS,NA
GS,NA,NA,EDUCS,NA,NA
PSYC,BUSLA,NA,SSES,NA,NA
ENG,PSYC,NA,FLMS,NA,NA
ART,NA,NA,NA,NA,NA
ART,NA,NA,REL,NA,NA
MATH,CS,NA,NA,NA,NA
MUS,NA,NA,PSYC,NA,NA
EN_PS,NA,NA,NA,NA,NA
SOC,NA,NA,GOVT,NA,NA
ENG,NA,NA,EDUCS,NA,NA
BIOL,NA,NA,SSES,NA,NA
EG_SP,NA,NA,GEOL,NA,NA
PSYC,NA,NA,EDUCS,HISP,NA
HIST,GOVT,NA,NA,NA,NA
EN_BI,NA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
PSYC,BUSLA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
BIOL,NA,NA,GNDR,NA,NA
SOC,BUSLA,NA,EDUCS,NA,NA
PSYC,NA,NA,SSES,NA,NA
STAT,BUSLA,NA,NA,NA,NA
ECON,ENG,NA,NA,NA,NA
PSYC,BUSLA,NA,SSES,NA,NA
PSYC,PHIL,NA,EDUCS,PUB,NA
HIST,NA,NA,MATH,NA,NA
PSYC,NA,NA,NA,NA,NA
BIOL,NA,NA,ENG,NA,NA
ECON,BUSLA,NA,NA,NA,NA
BIOL,GOVT,NA,PUB,NA,NA
PSYC,HIST,NA,NA,NA,NA
BIOL,NA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
CS,STAT,NA,MATH,NA,NA
ENG,NRSCI,NA,NA,NA,NA
SOC,NA,NA,EDUCS,NA,NA
EN_GO,NA,NA,NA,NA,NA
ECON,BUSLA,NA,STATS,NA,NA
ECON,GOVT,NA,NA,NA,NA
PSYC,MUS,NA,NA,NA,NA
CS,MUS,NA,MATH,NA,NA
BIOL,NA,NA,PUB,CHEM,NA
ENG,NA,NA,ART,NA,NA
MULTL,NA,NA,NA,NA,NA
PHYS,NA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
HIST,NA,NA,NA,NA,NA
EN_EC,NA,NA,STATS,NA,NA
PSYC,NA,NA,EDUCS,SSES,NA
ECON,PCA,BUSLA,NA,NA,NA
GOVT,PCA,NA,FLMS,NA,NA
ENVS,MUS,NA,OUTDR,NA,NA
ENVS,BUSLA,NA,NA,NA,NA
STAT,ECON,BUSLA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
CONBI,NA,NA,NA,NA,NA
EN_MA,ECON,NA,NA,NA,NA
HIST,NA,NA,FLMS,MUS,NA
PSYC,NA,NA,HIST,NA,NA
GOVT,PHIL,NA,NA,NA,NA
ENG,PCA,NA,NA,NA,NA
GEOL,ANTH,NA,NA,NA,NA
PSYC,NA,NA,NA,NA,NA
CHEM,NA,NA,NA,NA,NA
GOVT,NA,NA,PSYC,NA,NA
ECON,PSYC,BUSLA,NA,NA,NA
ANTH,NA,NA,EDUCS,NA,NA
ECON,PSYC,NA,STATS,NA,NA
PSYC,NA,NA,GNDR,NA,NA
MUS,NA,NA,EDUCS,NA,NA
BIOCH,NA,NA,STATS,MATH,NA
PSYC,BUSLA,NA,PUB,NA,NA
ECON,BUSLA,NA,PHYS,NA,NA
GS,BUSLA,NA,ITAL,NA,NA
ENG,ART,BUSLA,NA,NA,NA
BIOL,NA,NA,PUB,NA,NA
BIOL,NA,NA,NA,NA,NA
ART,NA,NA,NA,NA,NA
ENVS,NA,NA,SOC,NA,NA
GEOL,NA,NA,SSES,NA,NA
HISP,BUSLA,NA,CLAS,NA,NA
ECON,MUS,NA,STATS,NA,NA
PCA,NA,NA,FLMS,FRST,NA
PHIL,ENG,NA,NA,NA,NA
BIOL,NA,NA,PUB,MATH,NA
GOVT,NA,NA,REL,NA,NA
PCA,NA,NA,STATS,NA,NA
SOC,NA,NA,PUB,NA,NA
NRSCI,NA,NA,PUB,NA,NA
PSYC,ENVS,NA,NA,NA,NA
CS,BUSLA,NA,NA,NA,NA
ART,ENG,NA,NA,NA,NA
ECON,BUSLA,NA,MATH,NA,NA
BIOL,NA,NA,SSES,NA,NA
GOVT,NA,NA,NA,NA,NA
NRSCI,NA,NA,PUB,NA,NA
GEOL,NA,NA,NA,NA,NA
BIOL,NA,NA,PUB,NA,NA
GEOL,NA,NA,NA,NA,NA
GEOL,NA,NA,NA,NA,NA
SOC,NA,NA,EDUCS,NA,NA
GOVT,NA,NA,HIST,SSES,NA
CHEM,NA,NA,NA,NA,NA
PCA,NA,NA,SSES,NA,NA
ENVS,NA,NA,OUTDR,EDUCS,NA
PSYC,NA,NA,BIOL,NA,NA
ENVS,NA,NA,OUTDR,NA,NA
PCA,NA,NA,HIST,NA,NA
MATH,ECON,NA,STATS,NA,NA
ENG,NA,NA,GOVT,NA,NA
PSYC,ANTH,NA,SSES,NA,NA
PCA,NA,NA,FLMS,NA,NA
BIOCH,NA,NA,NA,NA,NA
PCA,BUSLA,NA,NA,NA,NA
GOVT,ENG,NA,NA,NA,NA
EC_MA,NA,NA,NA,NA,NA
PSYC,NA,NA,EDUCS,NA,NA
ENG,NA,NA,NA,NA,NA
ANTH,HIST,NA,ART,NA,NA
ECON,BUSLA,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
MATH,NA,NA,STATS,SSES,NA
ECON,BUSLA,NA,STATS,NA,NA
ECON,BUSLA,NA,NA,NA,NA
PCA,GOVT,NA,FLMS,NA,NA
CONBI,NA,NA,GS,NA,NA
EN_GO,NA,NA,PEAC,NA,NA
MATH,STAT,NA,NA,NA,NA
ENG,GOVT,NA,FLMS,NA,NA
BIOL,NA,NA,SSES,NA,NA
SOC,NA,NA,EDUCS,NA,NA
PCA,NA,NA,EDUCS,NA,NA
PCA,NA,NA,ENG,SSES,NA
ECON,BUSLA,NA,STATS,MATH,NA
PSYC,BUSLA,NA,EDUCS,NA,NA
STAT,NA,NA,NA,NA,NA
PSYC,NA,NA,SOC,NA,NA
HIST,NA,NA,GNDR,EDUCS,NA
PCA,NA,NA,AFAMS,NA,NA
PHIL,NA,NA,GOVT,NA,NA
CS,NA,NA,MATH,NA,NA
ENVS,NA,NA,PSYC,NA,NA
ENG,NA,NA,PUB,NA,NA
GS,NA,NA,PUB,ARAB,NA
BIOL,NA,NA,GNDR,FLMS,NA
GS,HISP,NA,GNDR,NA,NA
HISP,NA,NA,CLAS,EDUCS,NA
PCA,NA,NA,FLMS,NA,NA
PCA,NA,NA,SSES,NA,NA
PSYC,BUSLA,NA,PUB,NA,NA
PSYC,NA,NA,HISP,STATS,NA
GOVT,NA,NA,NA,NA,NA
PHYS,NA,NA,NA,NA,NA
GOVT,BUSLA,NA,NA,NA,NA
ENG,NA,NA,EDUCS,NA,NA
ECON,BUSLA,NA,NA,NA,NA
MATH,NA,NA,GRST,CS,NA
ECON,BUSLA,NA,NA,NA,NA
GS,NA,NA,ART,NA,NA
STAT,PSYC,NA,NA,NA,NA
BIOL,NA,NA,NA,NA,NA
AS_GO,NA,NA,CHIN,NA,NA
PCA,BUSLA,NA,NA,NA,NA
MATH,NA,NA,STATS,EDUCT,NA
EN_EN,NA,NA,PUB,NA,NA
MATH,STAT,NA,PUB,NA,NA
PSYC,NA,NA,EDUCS,ART,NA
STAT,NA,NA,MATH,ECON,NA
PCA,NA,NA,SOC,NA,NA
PSYC,GS,NA,PUB,NA,NA
PCA,NA,NA,ENG,NA,NA
BIOL,NA,NA,PUB,NA,NA
BIOL,MUS,NA,STATS,NA,NA
PSYC,PHIL,NA,NA,NA,NA
PSYC,BUSLA,NA,NA,NA,NA
EC_MA,BUSLA,NA,NA,NA,NA
HIST,GOVT,NA,PHIL,NA,NA
GOVT,MUS,NA,FRST,EUR,NA
EG_SP,NA,NA,NA,NA,NA
GEOL,HIST,NA,NA,NA,NA
ART,BUSLA,ECON,NA,NA,NA
EN_EC,NA,NA,NA,NA,NA
EN_GO,NA,NA,EDUCS,NA,NA
EN_MA,NA,NA,STATS,NA,NA
GOVT,ENG,NA,NA,NA,NA
NRSCI,ECON,NA,NA,NA,NA
EC_MA,NA,NA,NA,NA,NA
