major1,major2,major3,minor1,minor2,minor3
DATA,ECON,NA,NA,NA,NA
HIST,BUSLA,NA,NA,NA,NA
CS,NA,NA,NA,NA,NA
PHIL,NA,NA,PCA,FRST,NA
FINC,BUSLA,NA,PHIL,NA,NA
DATA,NA,NA,CLAS,HISP,NA
PHIL,NA,NA,GRST,NA,NA
DATA,ECON,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
ANTH,NA,NA,GNDR,CLAS,NA
ECON,NA,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
EN_SO,NA,NA,AFS,ART,NA
ECON,NA,NA,EUR,NA,NA
CS,STAT,NA,MATH,NA,NA
PCA,BUSLA,NA,NA,NA,NA
GS,NA,NA,EDUCS,GNDR,NA
EG_FR,NA,NA,NA,NA,NA
PSYC,NA,NA,SOC,NA,NA
ANTH,ART,NA,NA,NA,NA
ENVS,PCA,NA,NA,NA,NA
CONBI,NA,NA,STATS,NA,NA
MATH,PSYC,NA,NA,NA,NA
CS,STAT,NA,MATH,NA,NA
CONBI,NA,NA,ANTH,AFS,NA
BIOL,NA,NA,SSES,NA,NA
ECON,BUSLA,NA,SSES,NA,NA
ECON,BUSLA,NA,NA,NA,NA
PSYC,NA,NA,SSES,NA,NA
MATH,NA,NA,STATS,NA,NA
PUB,NA,NA,NA,NA,NA
EN_GO,NA,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
CS,STAT,NA,NA,NA,NA
ENG,NA,NA,EDUCS,DMF,NA
NRSCI,NA,NA,PHIL,NA,NA
ECON,NA,NA,SSES,NA,NA
GOVT,NA,NA,EUR,NA,NA
BIOL,NA,NA,CHEM,NA,NA
POLS,NA,NA,SSES,NA,NA
EN_EC,NA,NA,SSES,NA,NA
FINC,BUSLA,NA,NA,NA,NA
PSYC,NA,NA,PUB,NA,NA
BIMED,NA,NA,CHEM,NA,NA
HISP,NA,NA,SOC,PSYC,NA
GS,NA,NA,ARAB,NA,NA
POLS,BUSLA,NA,SSES,NA,NA
ECON,BUSLA,NA,NA,NA,NA
DATA,NA,NA,CHEM,NA,NA
PCA,NA,NA,SSES,NA,NA
SOC,BUSLA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
PCA,BUSLA,NA,NA,NA,NA
SOC,BUSLA,NA,EDUCS,NA,NA
DMF,NA,NA,NA,EDUCS,NA
PSYC,NA,NA,DMF,NA,NA
BIMED,FRST,NA,NA,NA,NA
MATH,NA,NA,NA,NA,NA
PSYC,NA,NA,PUB,NA,NA
BIOL,NA,NA,SSES,NA,NA
ECON,BUSLA,NA,NA,NA,NA
CS,NA,NA,ECON,NA,NA
PSYC,NA,NA,SOC,NA,NA
HIST,NA,NA,ECON,GRST,NA
EN_EC,NA,NA,HISP,NA,NA
FINC,NA,NA,GS,NA,NA
HISP,NA,NA,CLAS,EDUCS,NA
PCA,NA,NA,SSES,NA,NA
POLS,NA,NA,AS,NA,NA
BIMED,NA,NA,PUB,AFS,NA
PSYC,NA,NA,GNDR,SOC,NA
HIST,NA,NA,PCA,GS,NA
SOC,NA,NA,NA,NA,NA
ART,PSYC,NA,NA,NA,NA
MATH,PSYC,NA,NA,NA,NA
PSYC,NA,NA,STATS,NA,NA
